cid,name,type,notnull,dflt_value,pk
0,id,INTEGER,0,,1
1,team_fifa_api_id,INTEGER,0,,0
2,team_api_id,INTEGER,0,,0
3,date,TEXT,0,,0
4,buildUpPlaySpeed,INTEGER,0,,0
5,buildUpPlaySpeedClass,TEXT,0,,0
6,buildUpPlayDribbling,INTEGER,0,,0
7,buildUpPlayDribblingClass,TEXT,0,,0
8,buildUpPlayPassing,INTEGER,0,,0
9,buildUpPlayPassingClass,TEXT,0,,0
10,buildUpPlayPositioningClass,TEXT,0,,0
11,chanceCreationPassing,INTEGER,0,,0
12,chanceCreationPassingClass,TEXT,0,,0
13,chanceCreationCrossing,INTEGER,0,,0
14,chanceCreationCrossingClass,TEXT,0,,0
15,chanceCreationShooting,INTEGER,0,,0
16,chanceCreationShootingClass,TEXT,0,,0
17,chanceCreationPositioningClass,TEXT,0,,0
18,defencePressure,INTEGER,0,,0
19,defencePressureClass,TEXT,0,,0
20,defenceAggression,INTEGER,0,,0
21,defenceAggressionClass,TEXT,0,,0
22,defenceTeamWidth,INTEGER,0,,0
23,defenceTeamWidthClass,TEXT,0,,0
24,defenceDefenderLineClass,TEXT,0,,0
