p1,p2,p3,p4,p5,r
6.4,2.8,5.6,2.2,640,2
5,2.3,3.3,1,500,1
4.9,2.5,4.5,1.7,490,2
4.9,3.1,1.5,0.1,490,0
5.7,3.8,1.7,0.3,570,0
4.4,3.2,1.3,0.2,440,0
5.4,3.4,1.5,0.4,540,0
6.9,3.1,5.1,2.3,690,2
6.7,3.1,4.4,1.4,670,1
5.1,3.7,1.5,0.4,510,0
5.2,2.7,3.9,1.4,520,1
6.9,3.1,4.9,1.5,690,1
5.8,4,1.2,0.2,580,0
5.4,3.9,1.7,0.4,540,0
7.7,3.8,6.7,2.2,770,2
6.3,3.3,4.7,1.6,630,1
6.8,3.2,5.9,2.3,680,2
7.6,3,6.6,2.1,760,2
6.4,3.2,5.3,2.3,640,2
5.7,4.4,1.5,0.4,570,0
6.7,3.3,5.7,2.1,670,2
6.4,2.8,5.6,2.1,640,2
5.4,3.9,1.3,0.4,540,0
6.1,2.6,5.6,1.4,610,2
7.2,3,5.8,1.6,720,2
5.2,3.5,1.5,0.2,520,0
5.8,2.6,4,1.2,580,1
5.9,3,5.1,1.8,590,2
5.4,3,4.5,1.5,540,1
6.7,3,5,1.7,670,1
6.3,2.3,4.4,1.3,630,1
5.1,2.5,3,1.1,510,1
6.4,3.2,4.5,1.5,640,1
6.8,3,5.5,2.1,680,2
6.2,2.8,4.8,1.8,620,2
6.9,3.2,5.7,2.3,690,2
6.5,3.2,5.1,2,650,2
5.8,2.8,5.1,2.4,580,2
5.1,3.8,1.5,0.3,510,0
4.8,3,1.4,0.3,480,0
7.9,3.8,6.4,2,790,2
5.8,2.7,5.1,1.9,580,2
6.7,3,5.2,2.3,670,2
5.1,3.8,1.9,0.4,510,0
4.7,3.2,1.6,0.2,470,0
6,2.2,5,1.5,600,2
4.8,3.4,1.6,0.2,480,0
7.7,2.6,6.9,2.3,770,2
4.6,3.6,1,0.2,460,0
7.2,3.2,6,1.8,720,2
5,3.3,1.4,0.2,500,0
6.6,3,4.4,1.4,660,1
6.1,2.8,4,1.3,610,1
5,3.2,1.2,0.2,500,0
7,3.2,4.7,1.4,700,1
6,3,4.8,1.8,600,2
7.4,2.8,6.1,1.9,740,2
5.8,2.7,5.1,1.9,580,2
6.2,3.4,5.4,2.3,620,2
5,2,3.5,1,500,1
5.6,2.5,3.9,1.1,560,1
6.7,3.1,5.6,2.4,670,2
6.3,2.5,5,1.9,630,2
6.4,3.1,5.5,1.8,640,2
6.2,2.2,4.5,1.5,620,1
7.3,2.9,6.3,1.8,730,2
4.4,3,1.3,0.2,440,0
7.2,3.6,6.1,2.5,720,2
6.5,3,5.5,1.8,650,2
5,3.4,1.5,0.2,500,0
4.7,3.2,1.3,0.2,470,0
6.6,2.9,4.6,1.3,660,1
5.5,3.5,1.3,0.2,550,0
7.7,3,6.1,2.3,770,2
6.1,3,4.9,1.8,610,2
4.9,3.1,1.5,0.1,490,0
5.5,2.4,3.8,1.1,550,1
5.7,2.9,4.2,1.3,570,1
6,2.9,4.5,1.5,600,1
6.4,2.7,5.3,1.9,640,2
5.4,3.7,1.5,0.2,540,0
6.1,2.9,4.7,1.4,610,1
6.5,2.8,4.6,1.5,650,1
5.6,2.7,4.2,1.3,560,1
6.3,3.4,5.6,2.4,630,2
4.9,3.1,1.5,0.1,490,0
6.8,2.8,4.8,1.4,680,1
5.7,2.8,4.5,1.3,570,1
6,2.7,5.1,1.6,600,1
5,3.5,1.3,0.3,500,0
6.5,3,5.2,2,650,2
6.1,2.8,4.7,1.2,610,1
5.1,3.5,1.4,0.3,510,0
4.6,3.1,1.5,0.2,460,0
6.5,3,5.8,2.2,650,2
4.6,3.4,1.4,0.3,460,0
4.6,3.2,1.4,0.2,460,0
7.7,2.8,6.7,2,770,2
5.9,3.2,4.8,1.8,590,1
5.1,3.8,1.6,0.2,510,0
4.9,3,1.4,0.2,490,0
4.9,2.4,3.3,1,490,1
4.5,2.3,1.3,0.3,450,0
5.8,2.7,4.1,1,580,1
5,3.4,1.6,0.4,500,0
5.2,3.4,1.4,0.2,520,0
5.3,3.7,1.5,0.2,530,0
5,3.6,1.4,0.2,500,0
5.6,2.9,3.6,1.3,560,1
4.8,3.1,1.6,0.2,480,0
6.3,2.7,4.9,1.8,630,2
5.7,2.8,4.1,1.3,570,1
5,3,1.6,0.2,500,0
6.3,3.3,6,2.5,630,2
5,3.5,1.6,0.6,500,0
5.5,2.6,4.4,1.2,550,1
5.7,3,4.2,1.2,570,1
4.4,2.9,1.4,0.2,440,0
4.8,3,1.4,0.1,480,0
5.5,2.4,3.7,1,550,1
